UNICODE12,Molweight [g/mol],Ringbonds,Alkylatoms,Alkylgroups,Rotatable bonds,Internal H-bonds,Conjugated bonds,Fragments,Alkane,mu_self,hint_self,hb_self,Area,?-moment2,?-moment3,?-moment4,?-moment5,?-moment6,HB-acc_m1,HB-acc_m2,HB-acc_m3,HB-acc_m4,HB-don_m1,HB-don_m2,HB-don_m3,HB-don_m4,Volume,MWeight,E_dielec,#rotbdsmod,Tmult,rbwring,nbr11,mu_self100,hint_self100,hb_self100,n_total,Amine,nbr2u1,nbr2s1,nbr3u1,nbr3s1, nbr2u2u,nbr2s2u,nbr2s2s,nbr3u2u,nbr3s2u,nbr3u2s,nbr3s2s,nbr3u3u,nbr3s3u,nbr3s3s,Kier1,Kier2,n_arom,N,Sumq(e),S_sym,S_crs,H_crs,Hfus_exp[kcal/mol]
ZLK9Q6962JNU,74.12,0,4,1,2,0,0,0,-1,-5.702,-10.076,-4.538,125.71,35.94,9.31,54.72,18.68,107.24,0.03,3.16,1.58,0.52,-0.02,1.86,0.91,0.33,112.25,74.12,-4.73,1.5,0,0,0,-9.917,-12.567,-5.898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.25,0,0,0,0,0.008666896,1.83927,1.44
LLJAJC8H2JNN,74.12,0,4,1,2,0,0,0,-1,-5.712,-10.447,-4.971,124.93,37.76,8.13,59.16,14.67,117.06,0.03,3.3,1.63,0.52,-0.02,2.2,1.11,0.41,111.81,74.12,-4.95,1.75,0.39,0,0,-10.156,-12.913,-6.323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.25,0,0,0,0.000775,0.008690831,1.83927,1.51
EEOPSLMNOPNN,74.12,0,4,1,0,0,0,0,-1,-5.656,-10.101,-4.705,123.71,37.22,10.68,56.99,23.61,112.94,0.03,3.38,1.7,0.61,-0.02,1.86,0.88,0.3,110.88,74.12,-4.82,0,0.88,0,0,-9.899,-12.564,-6.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.001749017,0.008725081,1.83601,1.6
SMWHI777UGNN,74.12,0,4,2,2,0,0,0,-1,-5.268,-5.567,-0.049,131.13,21.67,18.22,25.66,32.98,44.55,0.02,2.38,1,0.25,0,0,0,0,113.46,74.12,-2.87,2,0.61,0,2,-5.962,-6.603,-0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0.001212387,0.001702871,0.2918,1.72
MTKG1JDE2JNN,74.12,0,4,2,1,0,0,0,-1,-4.99,-5.287,-0.096,127.17,23.05,18.81,27.43,35.38,48.45,0.03,2.56,1.13,0.29,0,0,0,0,112.68,74.12,-3.11,0.75,0.39,0,0,-5.731,-6.462,-0.258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.25,0,0,0,0.000775,0.00281918,0.46542,1.39
RX9P1UXEUGNN,74.12,0,4,2,2,0,0,0,-1,-5.063,-5.382,-0.065,130.56,22.48,19.23,27.12,34.9,47.26,0.02,2.52,1.08,0.27,0,0,0,0,112.93,74.12,-3.04,2,0,0,1,-5.804,-6.514,-0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0.002435311,0.40508,1.84
VXPSXFI74JNN,90.12,0,0,0,5,0,0,0,-1,-6.017,-12.848,-7.44,129.82,56.47,13.88,91.57,22.45,186.9,0.05,5.02,2.51,0.84,-0.03,3.2,1.76,0.75,120.19,90.12,-8.02,5,0.69,0,1,-12.296,-16.189,-9.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0.001371388,0.012960921,2.69626,4.47
QT36CZX1N5NU,122.12,0,0,0,7,10,0,0,-1,-6.102,-13.591,-7.695,147.23,84.43,18.18,110.34,25.85,183.99,0.06,5.8,2.24,0.46,-0.03,3.62,1.69,0.56,139.38,122.12,-9.42,5.5,0.69,0,0,-13.557,-18.419,-10.896,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,8,3.9375,0,0,0,0.001371388,0.020357811,4.14265,9.31
BFV6TCXBYINN,90.19,0,4,1,3,0,0,0,-1,-6.1,-7.22,-0.106,142.23,25.11,6.98,15.26,8.37,13.46,0,0.56,0.07,0,0,0.03,0,0,127.68,90.19,-3.5,3,0,0,1,-7.677,-9.08,-0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0.005507414,0.92037,2.51
CE61BX610MNU,90.19,0,4,1,2,0,0,0,-1,-6.108,-7.004,-0.065,137.15,22.6,5.27,12.8,5.98,10.66,0,0.35,0.03,0,0,0.05,0,0,128.27,90.19,-3.15,1.5,0,0,0,-7.441,-8.644,-0.255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.25,0,0,0,0,0.00467514,0.76972,1.56
