mu_self,h_hb,h_int,e_dielec,area,sigma_m2,sigma_m3,sigma_m4,sigma_m5,sigma_m6,volume,avratio,hbacc_m1,hbacc_m2,hbacc_m3,hbacc_m4,hbdon_m1,hbdon_m2,hbdon_m3,hbdon_m4,molweight,ringbonds,alkylatoms,alkylgroups,rotatable_bonds,internal_hbonds,conjugated_bonds,rotbsdmod,tmult,nbr11,rbwring,fragments,zwitterion_in_water,n_exp
-7.84838,-0.39904,-10.7036,-6.6485,252.926,46.4678,28.1353,43.808,46.1594,60.6606,242.5369,1.04283513,0.0325,3.4145,1.0972,0.1647,0,0,0,0,172.27,0,9,2,8,0,1,7.75,0,5,0,3,0,1.4204
-7.29799,0,-8.7372,-3.504,165.1953,24.0531,-2.1524,5.9256,-1.1937,1.7881,159.0521,1.03862382,0,0,0,0,0,0,0,0,171.04,6,1,1,0,0,6,0,0.46,0,0,0,0,1.549
-3.6154,-1.17286,-5.42621,-7.7326,143.3729,51.3376,-11.3063,43.3322,-14.734,55.5814,132.7397,1.08010565,0.0095,0.9843,0.4142,0.1017,-0.0186,2.041,0.5305,0.0438,111.12,6,0,0,1,0,6,0.75,0.46,0,0,0,0,1.5195
-6.62919,0,-6.83454,-0.4906,136.8692,4.7636,0.2515,0.3234,0.0329,0.0269,122.03,1.12160288,0,0,0,0,0,0,0,0,72.15,0,5,0,2,0,0,2,0.61,2,0,0,0,1.3577
-5.44701,-0.45356,-7.57465,-7.3362,176.5286,49.4358,13.6312,32.3827,22.4299,32.8449,166.8026,1.05830844,0.0154,1.7069,0.3891,0.021,0,0,0,0,136.15,6,1,1,2,0,7,1.5,0.39,0,0,0,0,1.503
-4.76925,-0.53085,-6.23147,-6.3071,154.3339,44.0266,27.4747,43.215,45.4197,59.6414,138.2893,1.11602199,0.0321,3.356,1.0689,0.1581,0,0,0,0,102.13,0,4,2,3,0,1,2.75,0,0,0,0,0,1.3844
-5.2408,-5.62049,-10.25336,-5.283,108.6069,40.3006,11.4937,66.1161,23.1773,132.7104,90.3323,1.20230416,0.0381,3.8606,1.9601,0.6716,-0.0223,2.2587,1.1406,0.4188,60.1,0,3,1,2,0,0,2,0,0,0,0,0,1.3862
-5.74727,0,-6.37974,-2.9956,122.6076,19.3164,2.799,6.0784,1.5802,2.3623,107.2475,1.14322105,0,0,0,0,0,0,0,0,122.99,0,3,1,1,0,0,1,0,0,0,0,0,1.4341
-6.09305,-0.2873,-7.80535,-5.9535,192.3224,41.9676,27.3776,39.8629,43.7536,55.8806,179.9939,1.06849399,0.0302,3.1677,1.0108,0.1528,0,0,0,0,130.19,0,6,2,5,0,1,4.5,0,0,0,2,0,1.4005
-4.14658,-2.77095,-6.52835,-4.2938,112.3792,34.5269,28.5972,69.6058,109.4817,219.4974,94.2708,1.19208917,0.0445,4.4917,3.1368,2.0273,-0.0002,0.1405,0.0005,0,59.11,0,3,1,2,0,0,2,0,0,0,0,0,1.389
-6.78953,-0.00248,-7.78959,-3.0328,179.2811,22.0261,2.7548,5.7012,1.5356,1.9325,174.7138,1.02614161,0,0,0,0,0,0,0,0,120.19,6,3,1,2,0,6,1.75,0.42,0,0,0,0,1.4919
-5.65573,-4.70507,-10.10061,-4.8152,123.7111,37.2218,10.6847,56.989,23.6063,112.9421,110.883,1.11569041,0.0333,3.3804,1.7009,0.6065,-0.0183,1.855,0.8838,0.2962,74.12,0,4,1,0,0,0,0,0.88,0,0,0,0,1.3847
-4.72406,-2.46059,-7.03217,-4.2094,127.0222,33.793,26.7462,65.3325,103.2746,206.7647,115.7158,1.09770835,0.0419,4.2358,3.0074,1.9428,-0.0002,0.1234,0.0007,0,73.14,0,4,1,0,0,0,0,0.88,0,0,0,0,1.37
-4.67464,-5.39317,-9.79476,-7.8611,111.6572,60.432,-2.1503,96.1119,-43.8346,213.946,94.7524,1.17841026,0.0316,3.3713,1.0363,0.1564,-0.0431,4.3318,2.8936,1.6898,74.08,0,2,1,2,0,1,1.5,0,0,0,0,0,1.3869
